kreis,quote
161,0.191066438
162,0.262858891
163,0.215165772
171,0.119462678
172,0.164846265
173,0.129912365
174,0.162325128
175,0.140975572
176,0.094656121
177,0.120464315
178,0.1788486
179,0.153211649
180,0.135110377
181,0.089333511
182,0.127127287
183,0.12376588
184,0.18041618
185,0.107437592
186,0.117229601
187,0.102468144
188,0.145748425
189,0.102735747
190,0.095528425
261,0.199697593
262,0.168115448
263,0.172501099
271,0.094603191
272,0.051849111
273,0.128313478
274,0.102773695
275,0.084892243
276,0.066864746
277,0.106014716
278,0.076463608
279,0.12381701
361,0.117444974
362,0.168928893
363,0.127646632
371,0.063717261
372,0.061758777
373,0.091697443
374,0.052038115
375,0.08941619
376,0.086662789
377,0.04610943
461,0.148126607
462,0.128170841
463,0.113556681
464,0.178265139
471,0.051704572
472,0.038364331
473,0.055402492
474,0.06927532
475,0.06037911
476,0.050671981
477,0.052902216
478,0.061474182
479,0.087509463
561,0.14605962
562,0.187144533
563,0.19629252
564,0.233117271
565,0.133037261
571,0.088070383
572,0.090141481
573,0.073956539
574,0.091725608
575,0.086502861
576,0.072529172
577,0.096628454
661,0.172093744
662,0.189009097
663,0.122156737
671,0.095551091
672,0.05931128
673,0.052602499
674,0.046406902
675,0.094959136
676,0.114033384
677,0.073400022
678,0.064905366
679,0.0653658
761,0.224255012
762,0.162867697
763,0.166461801
764,0.195396825
771,0.087809587
772,0.100706993
773,0.101375282
774,0.13932471
775,0.152696285
776,0.134933704
777,0.090896857
778,0.097281565
779,0.098824215
780,0.089053125
